Sport,Season,Team,W,L,Rank,Conf
WVB,2021-22,Norfolk St.,7,18,302,MEAC
WVB,2021-22,Jacksonville,4,24,303,ASUN
WVB,2021-22,IUPUI,5,24,304,Horizon
WVB,2021-22,UC Riverside,6,24,305,Big West
WVB,2021-22,San Francisco,0,25,306,WCC
WVB,2021-22,Youngstown St.,6,23,307,Horizon
WVB,2021-22,Idaho,5,20,308,Big Sky
WVB,2021-22,Radford,6,22,309,Big South
WVB,2021-22,Nevada,3,26,310,Mountain West
WVB,2021-22,UNCW,4,23,311,CAA
WVB,2021-22,Binghamton,7,17,312,America East
WVB,2021-22,Robert Morris,9,21,313,Horizon
WVB,2021-22,Holy Cross,2,25,314,Patriot
WVB,2021-22,Gardner-Webb,7,19,315,Big South
WVB,2021-22,Iona,10,18,316,MAAC
WVB,2021-22,Siena,7,23,317,MAAC
WVB,2021-22,North Dakota,1,29,318,Summit League
WVB,2021-22,Lamar University,4,22,319,WAC
WVB,2021-22,St. Francis Brooklyn,9,20,320,NEC
WVB,2021-22,Morgan St.,5,24,321,MEAC
WVB,2021-22,Bellarmine,6,22,322,ASUN
WVB,2021-22,North Ala.,9,20,323,ASUN
WVB,2021-22,Hampton,3,20,324,Big South
WVB,2021-22,Grambling,9,16,325,SWAC
WVB,2021-22,George Washington,2,25,326,Atlantic 10
WVB,2021-22,Bethune-Cookman,6,21,327,SWAC
WVB,2021-22,NJIT,2,25,328,America East
WVB,2021-22,Texas Southern,7,24,329,SWAC
WVB,2021-22,Fairleigh Dickinson,8,20,330,NEC
WVB,2021-22,Prairie View,7,26,331,SWAC
WVB,2021-22,Alabama A&M,5,23,332,SWAC
WVB,2021-22,New Orleans,1,22,333,Southland
WVB,2021-22,Southern U.,8,15,334,SWAC
WVB,2021-22,Manhattan,2,20,335,MAAC
WVB,2021-22,South Carolina St.,0,24,336,MEAC
WVB,2021-22,Saint Peter's,3,27,337,MAAC
WVB,2021-22,Merrimack,0,29,338,NEC
WVB,2021-22,Alcorn,3,22,339,SWAC
WVB,2021-22,Mississippi Val.,0,21,340,SWAC
WVB,2021-22,Mississippi Val.,0,21,340,SWAC
