school,urlSchool
Wofford,https://a.espncdn.com/i/teamlogos/ncaa/500/2747.png
Abilene Christian,https://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
Central Arkansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png
Houston Baptist,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png
Incarnate Word,https://a.espncdn.com/i/teamlogos/ncaa/500/2916.png
Lamar,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png
McNeese State,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png
Nicholls State,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png
Northwestern State,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png
Sam Houston State,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
Southeastern Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png
Stephen F. Austin,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png
Alabama A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/2010.png
Alabama State,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
Alcorn State,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png
Arkansas-Pine Bluff,https://a.espncdn.com/i/teamlogos/ncaa/500/2029.png
Grambling,https://a.espncdn.com/i/teamlogos/ncaa/500/2755.png
Jackson State,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png
Mississippi Valley State,https://a.espncdn.com/i/teamlogos/ncaa/500/2400.png
Prairie View A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png
Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/2582.png
Texas Southern,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png
Hofstra,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png
Northeastern,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png
Winston-Salem State,https://a.espncdn.com/i/teamlogos/ncaa/500/2736.png
New Mexico Highlands,https://a.espncdn.com/i/teamlogos/ncaa/500/2424.png
Mary,https://a.espncdn.com/i/teamlogos/ncaa/500/110243.png
Arkansas Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2033.png
Central Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/2120.png
Slippery Rock,https://a.espncdn.com/i/teamlogos/ncaa/500/215.png
La Salle,https://a.espncdn.com/i/teamlogos/ncaa/500/2325.png
Chadron State,https://s3.amazonaws.com/file.imleagues/Images/Intramurals/Uploaded/201609/20169717293757ed54469daf4923329a2f44d5eb464c8d.jpg
Minnesota State,https://a.espncdn.com/i/teamlogos/ncaa/500/2364.png
Saint Peter’s,https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png
Tuskegee,https://a.espncdn.com/i/teamlogos/ncaa/500/2657.png
Chowan,https://a.espncdn.com/i/teamlogos/ncaa/500/2804.png
Iona,https://a.espncdn.com/i/teamlogos/ncaa/500/314.png
Florida Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/53.png
Carnegie Mellon,https://a.espncdn.com/combiner/i?img=/i/teamlogos/cmu.png&w=250&h=250
Ferris State,https://a.espncdn.com/i/teamlogos/ncaa/500/2222.png
Southern Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2584.png
Western Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2848.png
Henderson State,https://a.espncdn.com/i/teamlogos/ncaa/500/2271.png
Mars Hill,https://a.espncdn.com/i/teamlogos/ncaa/500/2369.png
Valdosta State,https://a.espncdn.com/i/teamlogos/ncaa/500/2673.png
